Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,height,width,distortion_model,D_0,D_1,D_2,D_3,D_4,K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,binning_x,binning_y,roi.x_offset,roi.y_offset,roi.height,roi.width,roi.do_rectify
1733857824.3016267,12272,1733857824,269282341,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.3376198,12273,1733857824,302628756,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.3697424,12274,1733857824,335976124,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.4029791,12275,1733857824,369322538,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.437888,12276,1733857824,402669907,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.4680724,12277,1733857824,436016321,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.5012882,12278,1733857824,469363689,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.5344906,12279,1733857824,502710104,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.569356,12280,1733857824,536057711,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857824.6018095,12281,1733857824,569404125,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
