Image Timestamp,Joint State Timestamp
1728711281.9931877,1728711281.9841638
1728711282.0588062,1728711282.0036466
1728711282.1255512,1728711282.0240216
1728711282.190878,1728711282.0446255
1728711282.2584522,1728711282.0649402
1728711282.3255599,1728711282.0839329
1728711282.3913355,1728711282.1047595
1728711282.4568067,1728711282.1248374
1728711282.523983,1728711282.1447241
1728711282.5910437,1728711282.1654646
1728711282.658653,1728711282.1857476
1728711282.7243235,1728711282.2053654
1728711282.7914417,1728711282.2256284
1728711282.8568718,1728711282.246719
1728711282.9237103,1728711282.265973
1728711282.990887,1728711282.2861605
1728711283.057681,1728711282.306673
1728711283.124537,1728711282.3268447
1728711283.1904075,1728711282.3476229
1728711283.2574267,1728711282.3671124
1728711283.3247333,1728711282.387247
1728711283.3921287,1728711282.4075358
1728711283.4598742,1728711282.42814
1728711283.5262804,1728711282.4475787
1728711283.5924792,1728711282.4677985
1728711283.6586983,1728711282.4788358
1728711283.7254226,1728711282.4992313
1728711283.7925258,1728711282.5195563
1728711283.858031,1728711282.5391445
1728711283.9245782,1728711282.5593379
1728711283.9918969,1728711282.579455
1728711284.0574377,1728711282.5992074
1728711284.1240158,1728711282.6189902
1728711284.19071,1728711282.63933
1728711284.259097,1728711282.6602778
1728711284.3258924,1728711282.6794696
1728711284.3926497,1728711282.700262
1728711284.458912,1728711282.720527
1728711284.5242336,1728711282.741609
1728711284.5967205,1728711282.7608945
1728711284.6635785,1728711282.7814417
1728711284.7305512,1728711282.8008244
1728711284.797686,1728711282.820722
1728711284.8642807,1728711282.8409293
1728711284.9318573,1728711282.8612828
1728711284.9984705,1728711282.88122
1728711285.0650325,1728711282.9015582
1728711285.1321316,1728711282.9218783
1728711285.1977053,1728711282.9421737
1728711285.26401,1728711282.9623673
1728711285.3306913,1728711282.9823222
1728711285.3972554,1728711283.0024722
1728711285.4643986,1728711283.0228848
1728711285.5308945,1728711283.0429168
1728711285.5973756,1728711283.0639503
1728711285.6639805,1728711283.0837817
1728711285.7315493,1728711283.1032543
1728711285.7978048,1728711283.124133
1728711285.8650036,1728711283.1441658
1728711285.9314544,1728711283.1647103
1728711285.9983354,1728711283.1844542
1728711286.0642836,1728711283.2042882
1728711286.1311016,1728711283.2250686
1728711286.1976652,1728711283.2449045
1728711286.2645013,1728711283.2646024
1728711286.3309715,1728711283.2852614
1728711286.398372,1728711283.3058434
1728711286.46455,1728711283.326396
1728711286.5361817,1728711283.3455572
1728711286.5959878,1728711283.3671236
1728711286.663274,1728711283.3866956
1728711286.7294257,1728711283.4073727
1728711286.7955713,1728711283.426662
1728711286.8622282,1728711283.4466803
1728711286.9288218,1728711283.4679315
1728711286.9957032,1728711283.4880793
1728711287.0624292,1728711283.5084736
1728711287.1290073,1728711283.5278738
1728711287.195858,1728711283.547588
1728711287.2628489,1728711283.5683827
1728711287.329944,1728711283.5789697
1728711287.3964527,1728711283.5984695
1728711287.4637017,1728711283.61877
1728711287.5295806,1728711283.6388617
1728711287.5962086,1728711283.6592422
1728711287.662715,1728711283.6792274
1728711287.7294092,1728711283.6994154
1728711287.796312,1728711283.719659
1728711287.8630219,1728711283.7405806
1728711287.929566,1728711283.759907
1728711287.996316,1728711283.7808478
1728711288.0633435,1728711283.800606
1728711288.1310844,1728711283.8211868
1728711288.1972895,1728711283.841096
1728711288.263716,1728711283.860936
1728711288.3305528,1728711283.8806489
1728711288.3969223,1728711283.9009607
1728711288.4633498,1728711283.9211068
1728711288.5310607,1728711283.9413455
1728711288.596927,1728711283.9618688
1728711288.6636627,1728711283.9817672
1728711288.7303529,1728711284.002082
1728711288.7969298,1728711284.0223591
1728711288.869434,1728711284.042553
1728711288.9342957,1728711284.0622761
1728711289.0021448,1728711284.083064
1728711289.0681298,1728711284.1039357
1728711289.1353188,1728711284.123622
1728711289.2023242,1728711284.1438289
1728711289.2682877,1728711284.1641996
1728711289.334322,1728711284.1837022
1728711289.4005494,1728711284.203968
1728711289.469095,1728711284.2238395
1728711289.535797,1728711284.2444897
1728711289.6026447,1728711284.2642365
1728711289.6684,1728711284.2848268
1728711289.7360916,1728711284.3052652
1728711289.8019965,1728711284.3261282
1728711289.8687222,1728711284.3456914
1728711289.9351132,1728711284.3662317
1728711290.0019271,1728711284.3860576
1728711290.068526,1728711284.4057872
1728711290.1348548,1728711284.4263632
1728711290.2020566,1728711284.4470809
1728711290.2684782,1728711284.467001
1728711290.336398,1728711284.486528
1728711290.397012,1728711284.5076714
1728711290.4676785,1728711284.5278628
1728711290.5362463,1728711284.547635
1728711290.606405,1728711284.568102
1728711290.6694148,1728711284.5784407
1728711290.7363524,1728711284.5986466
1728711290.802564,1728711284.6278517
1728711290.8690195,1728711284.6388924
1728711290.935614,1728711284.6587906
1728711291.0024192,1728711284.6787114
1728711291.0693312,1728711284.698688
1728711291.1360147,1728711284.719395
1728711291.2036,1728711284.7397182
1728711291.2702818,1728711284.7601051
1728711291.3370383,1728711284.7801847
1728711291.4041228,1728711284.799817
1728711291.4705915,1728711284.8201098
1728711291.5369425,1728711284.8401754
1728711291.6040795,1728711284.8610334
1728711291.670239,1728711284.8804836
