Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1728711281.9841638,27728,1728711281,983285812,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.0036466,27729,1728711282,2912218,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.0240216,27730,1728711282,23583517,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.0446255,27731,1728711282,43844778,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.0649402,27732,1728711282,63995585,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.0839329,27733,1728711282,83541478,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.1047597,27734,1728711282,104260359,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.1248374,27735,1728711282,123999682,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.144724,27736,1728711282,144090287,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
1728711282.1654646,27737,1728711282,164863071,,"['joint1', 'joint2', 'joint3', 'joint4', 'joint5', 'joint6', 'joint7']",0.5181460976600647,-0.9888941645622252,0.7665455341339111,0.506654679775238,2.230816602706909,-0.5908644795417786,-2.043787717819214,3.3306690738754696e-16,1.586032877196064e-15,2.220446049250313e-15,-7.930164816114238e-18,3.806478979385936e-16,2.69625595476078e-16,-1.712915553958561e-15,-1.365373435837589e-16,5.022703170776367,-5.495120525360107,9.516130447387695,-1.1233320236206057,-0.2178477793931961,0.009447275660932
