timestamp,joint_states
1728711283.7925258,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.858031,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.9245782,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711283.9918969,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.0574377,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.1240158,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.19071,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.259097,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.3258924,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.3926497,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.458912,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.5242336,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506654679775238, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.5967205,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066527724266052, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.6635785,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066527724266052, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.7305512,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066527724266052, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.797686,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066527724266052, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.8642807,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066508650779724, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.9318573,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066508650779724, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711284.9984705,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066508650779724, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.0650325,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066508650779724, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.1321316,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066508650779724, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.1977053,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.26401,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.3306913,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.3972554,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.4643986,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.5308945,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.5066488981246948, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.5973756,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.6639805,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.7315493,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.7978048,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.8650036,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.9314544,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711285.9983354,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.0642836,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
