timestamp,joint_states
1733857826.2417407,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.2785068,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.3119578,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.3432176,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.3782291,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.4105444,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.4447794,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.4781647,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.5097558,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.5426292,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.5760136,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.6093893,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.6433444,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.675147,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.7113278,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.7603316,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.7904532,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
