-0.038313, -0.745084, -0.289348, -2.600667, -0.037535, 1.773060, -0.457344
-0.038223, -0.745912, -0.289425, -2.598350, -0.037571, 1.773047, -0.457300
-0.038164, -0.747057, -0.289523, -2.597729, -0.037605, 1.773041, -0.457262
-0.038155, -0.747148, -0.289520, -2.597738, -0.037606, 1.773042, -0.457260
-0.038147, -0.747152, -0.289488, -2.597751, -0.037610, 1.773041, -0.457253
-0.038149, -0.747170, -0.289499, -2.597727, -0.037617, 1.773048, -0.457253
-0.038154, -0.747146, -0.289506, -2.597736, -0.037615, 1.773052, -0.457254
-0.038143, -0.747160, -0.289483, -2.597737, -0.037609, 1.773052, -0.457252
-0.038148, -0.747155, -0.289488, -2.597731, -0.037611, 1.773057, -0.457248
-0.038155, -0.747163, -0.289506, -2.597723, -0.037611, 1.773058, -0.457250
-0.038151, -0.747161, -0.289502, -2.597734, -0.037612, 1.773058, -0.457253
-0.038148, -0.747160, -0.289492, -2.597733, -0.037610, 1.773059, -0.457252
-0.038149, -0.747155, -0.289498, -2.597732, -0.037615, 1.773061, -0.457245
-0.038152, -0.747163, -0.289505, -2.597724, -0.037608, 1.773061, -0.457245
-0.038148, -0.747160, -0.289488, -2.597732, -0.037614, 1.773061, -0.457246
-0.038147, -0.747160, -0.289491, -2.597727, -0.037611, 1.773060, -0.457246
-0.038152, -0.747158, -0.289499, -2.597725, -0.037612, 1.773062, -0.457246
-0.030931, -0.726093, -0.287346, -2.595880, -0.028793, 1.787208, -0.450301
-0.025925, -0.712186, -0.286893, -2.596301, -0.018629, 1.795029, -0.445689
-0.024532, -0.694253, -0.280802, -2.601883, -0.010762, 1.816155, -0.431763
-0.024613, -0.672853, -0.274562, -2.603841, 0.000899, 1.832107, -0.416180
-0.024091, -0.651332, -0.266390, -2.609420, 0.011008, 1.861264, -0.400702
-0.022821, -0.626702, -0.256446, -2.617710, 0.019241, 1.903739, -0.387391
-0.022597, -0.598958, -0.244087, -2.623328, 0.024363, 1.945073, -0.370370
-0.018886, -0.562352, -0.228725, -2.630358, 0.031653, 1.997243, -0.350372
-0.014867, -0.529217, -0.215304, -2.636763, 0.043524, 2.047158, -0.334207
-0.007124, -0.487013, -0.197927, -2.642185, 0.056234, 2.096635, -0.314609
-0.000245, -0.448595, -0.179588, -2.644783, 0.066189, 2.144298, -0.297818
0.008181, -0.405519, -0.160278, -2.642365, 0.075586, 2.183872, -0.277651
0.016759, -0.364880, -0.140571, -2.638065, 0.085358, 2.224853, -0.257874
0.026145, -0.320738, -0.120030, -2.628251, 0.094739, 2.259114, -0.236188
0.033595, -0.284430, -0.101710, -2.619403, 0.099934, 2.288064, -0.217757
0.040954, -0.243023, -0.082840, -2.611112, 0.104062, 2.322743, -0.196055
0.046413, -0.209935, -0.064795, -2.600485, 0.109143, 2.352909, -0.172099
0.049473, -0.175509, -0.045840, -2.591381, 0.107202, 2.395120, -0.145020
0.052835, -0.142223, -0.031974, -2.583014, 0.109241, 2.443791, -0.125314
0.055701, -0.112206, -0.019572, -2.568249, 0.112680, 2.476608, -0.104733
